;2024;2023;2022;2021;2020;2019
Aset Non Investasi; 41.280.026.993.914 ; 40.439.235.781.192 ; 35.718.351.917.994 ; 13.522.964.169.302 ; 12.455.900.825.554 ; 9.931.936.771.794 
Aset Investasi; 356.297.037.280.697 ; 336.546.736.507.695 ; 309.951.287.818.183 ; 293.208.531.304.979 ; 274.939.160.444.203 ; 253.321.566.937.984 
Deposito; 72.548.141.446.060 ; 46.030.507.000.000 ; 40.780.679.800.000 ; 49.546.458.603.831 ; 46.648.836.097.085 ; 47.144.501.993.254 
Saham; 12.661.883.183.200 ; 15.064.505.449.137 ; 12.006.222.958.876 ; 14.859.793.049.448 ; 17.143.598.200.417 ; 12.324.558.260.717 
Reksa Dana; 22.158.998.452.824 ; 27.004.209.841.471 ; 21.605.792.322.926 ; 24.187.556.532.348 ; 21.218.020.335.042 ; 18.510.185.165.150 
Obligasi; 185.976.378.709.331 ; 183.979.814.824.707 ; 172.433.861.713.558 ; 147.732.069.122.065 ; 149.870.000.245.760 ; 134.015.805.806.133 
Sukuk; 52.398.427.105.755 ; 52.538.398.423.536 ; 51.022.610.798.607 ; 45.348.632.870.739 ; 29.454.474.644.278 ; 29.401.817.994.659 
MTN; 3.472.688.997.995 ; 5.310.965.008.500 ; 5.518.648.011.500 ; 4.656.934.217.108 ; 3.586.266.463.500 ; 4.080.000.000.000 
SRBI; 23.335.250.000 ; -   ; -   ; -   ; -   ; -   
KIK-EBA; 577.649.528.905 ; 723.742.454.783 ; 1.250.337.846.613 ; 1.474.905.825.775 ; 2.130.136.668.451 ; 2.766.782.581.116 
Investasi Lainnya; 6.479.534.606.627 ; 5.894.593.505.561 ; 5.333.134.366.103 ; 5.402.181.083.665 ; 4.887.827.789.670 ; 5.077.915.136.955 
Total Aset; 397.577.064.274.611 ; 376.985.972.288.887 ; 345.669.639.736.177 ; 306.731.495.474.281 ; 287.395.061.269.757 ; 263.253.503.709.778 
Total Liabilitas; 386.414.925.645.838 ; 364.360.933.374.845 ; 334.660.090.070.713 ; 294.151.019.847.555 ; 273.457.483.137.594 ; 251.837.606.675.034 
Total Ekuitas;11.162.138.628.773; 12.625.038.914.042 ; 11.009.549.665.464 ; 12.580.475.626.726 ; 13.937.578.132.163 ; 11.415.897.034.744 
